year,date,stage,course,type,distance_in_km,winner_name,country,stage_workload
1974,1974-07-05,8a,Châlons-sur-Marne to Chaumont,Flat,136.0,Cyrille Guimard,Francia,27.200000000000003
1974,1974-07-05,8b,Chaumont to Besançon,Flat,152.0,Patrick Sercu,Bélgica,30.400000000000002
1974,1974-07-06,9,Besançon to Gaillard,Mountain,241.0,Eddy Merckx,Bélgica,241.0
1974,1974-07-07,10,Gaillard to Aix-les-Bains,Mountain,131.0,Eddy Merckx,Bélgica,131.0
1974,1974-07-08,11,Aix-les-Bains to Serre Chevalier,Mountain,199.0,Vicente López Carril,España,199.0
1974,1974-07-10,12,Savines-le-Lac to Orange,Mountain,231.0,Jos Spruyt,Bélgica,231.0
1974,1974-07-11,13,Avignon to Montpellier,Flat,126.0,Barry Hoban,Reino Unido,25.200000000000003
1974,1974-07-12,14,Lodève to Colomiers,Flat,249.0,Jean-Pierre Genet,Francia,49.800000000000004
1974,1974-07-14,15,Colomiers to La Seu d'Urgell (Spain),Mountain,225.0,Eddy Merckx,Bélgica,225.0
1974,1974-07-15,16,La Seu d'Urgell to Saint-Lary-Soulan Pla d'Adet,Mountain,209.0,Raymond Poulidor,Francia,209.0
1974,1974-07-16,17,Saint-Lary-Soulan to La Mongie,Mountain,119.0,Jean-Pierre Danguillaume,Francia,119.0
1974,1974-07-17,18,Bagnères-de-Bigorre to Pau,Mountain,141.0,Jean-Pierre Danguillaume,Francia,141.0
1974,1974-07-18,19a,Pau to Bordeaux,Flat,196.0,Francis Campaner,Francia,39.2
1974,1974-07-18,19b,Bordeaux,Individual time-trial,12.0,Eddy Merckx,Bélgica,7.199999999999999
1974,1974-07-19,20,Saint-Gilles-Croix-de-Vie to Nantes,Flat,120.0,Gerard Vianen,Países Bajos,24.0
1974,1974-07-20,21a,Vouvray to Orléans,Flat,113.0,Eddy Merckx,Bélgica,22.6
1974,1974-07-20,21b,Orléans,Individual time-trial,37.0,Michel Pollentier,Bélgica,22.2
1974,1974-07-21,22,Orléans to Paris,Flat,146.0,Eddy Merckx,Bélgica,29.200000000000003
1975,1975-06-26,P,Charleroi (Belgium),Individual time-trial,6.0,Francesco Moser,Italia,3.5999999999999996
1975,1975-06-27,1a,Charleroi (Belgium) to Molenbeek (Belgium),Flat,94.0,Cees Priem,Países Bajos,18.8
1975,1975-06-27,1b,Molenbeek (Belgium) to Roubaix,Flat,109.0,Rik Van Linden,Bélgica,21.8
1975,1975-06-28,2,Roubaix to Amiens,Flat,121.0,Ronald de Witte,Bélgica,24.200000000000003
1975,1975-06-29,3,Amiens to Versailles,Flat,170.0,Karel Rottiers,Bélgica,34.0
1975,1975-06-30,4,Versailles to Le Mans,Flat,223.0,Jacques Esclassan,Francia,44.6
1975,1975-07-02,5,Sablé-sur-Sarthe to Merlin-Plage,Flat,222.0,Theo Smit,Países Bajos,44.400000000000006
1975,1975-07-02,6,Merlin-Plage,Individual time-trial,16.0,Eddy Merckx,Bélgica,9.6
1975,1975-07-03,7,Saint-Gilles-Croix-de-Vie to Angoulême,Flat,236.0,Francesco Moser,Italia,47.2
1975,1975-07-04,8,Angoulême to Bordeaux,Flat,134.0,Barry Hoban,Reino Unido,26.8
1975,1975-07-05,9a,Langon to Fleurance,Flat,131.0,Theo Smit,Países Bajos,26.200000000000003
1975,1975-07-05,9b,Fleurance to Auch,Individual time-trial,37.0,Eddy Merckx,Bélgica,22.2
1975,1975-07-07,10,Auch to Pau,Mountain,206.0,Felice Gimondi,Italia,206.0
1975,1975-07-08,11,Pau to Saint-Lary-Soulan Pla d'Adet,Mountain,160.0,Joop Zoetemelk,Países Bajos,160.0
1975,1975-07-09,12,Tarbes to Albi,Flat,242.0,Gerrie Knetemann,Países Bajos,48.400000000000006
1975,1975-07-10,13,Albi to Super-Lioran,Mountain,260.0,Michel Pollentier,Bélgica,260.0
1975,1975-07-11,14,Aurillac to Puy de Dôme,Mountain,174.0,Lucien Van Impe,Bélgica,174.0
1975,1975-07-13,15,Nice to Pra-Loup,Mountain,217.0,Bernard Thévenet,Francia,217.0
1975,1975-07-14,16,Barcelonnette to Serre Chevalier,Mountain,107.0,Bernard Thévenet,Francia,107.0
1975,1975-07-15,17,Valloire to Morzine Avoriaz,Mountain,225.0,Vicente López Carril,España,225.0
1975,1975-07-16,18,Morzine to Châtel,Individual time-trial,40.0,Lucien Van Impe,Bélgica,24.0
1975,1975-07-17,19,Thonon-les-Bains to Chalon-sur-Saône,Mountain,229.0,Rik Van Linden,Bélgica,229.0
1975,1975-07-18,20,Pouilly-en-Auxois to Melun,Flat,256.0,Giacinto Santambrogio,Italia,51.2
1975,1975-07-19,21,Melun to Senlis,Flat,220.0,Rik Van Linden,Bélgica,44.0
1975,1975-07-20,22,Paris to Paris (Champs-Élysées),Flat,164.0,Walter Godefroot,Bélgica,32.800000000000004
1976,1976-06-24,P,Saint-Jean-de-Monts,Individual time-trial,8.0,Freddy Maertens,Bélgica,4.8
1976,1976-06-25,1,Saint-Jean-de-Monts to Angers,Flat,173.0,Freddy Maertens,Bélgica,34.6
1976,1976-06-26,2,Angers to Caen,Flat,237.0,Giovanni Battaglin,Italia,47.400000000000006
1976,1976-06-27,3,Le Touquet-Paris-Plage to Le Touquet-Paris-Plage,Individual time-trial,37.0,Freddy Maertens,Bélgica,22.2
1976,1976-06-28,4,Le Touquet-Paris-Plage to Bornem (Belgium),Flat,258.0,Hennie Kuiper,Países Bajos,51.6
1976,1976-06-29,5a,Leuven (Belgium) to Leuven (Belgium),Team time-trial,4.0,TI–Raleigh–Campagnolo,,1.6
1976,1976-06-29,5b,Leuven (Belgium) to Verviers (Belgium),Flat,144.0,Miguel María Lasa,España,28.8
1976,1976-06-30,6,Bastogne to Nancy,Flat,209.0,Aldo Parecchini,Italia,41.800000000000004
1976,1976-07-01,7,Nancy to Mulhouse,Hilly,206.0,Freddy Maertens,Bélgica,144.2
1976,1976-07-02,8,Valentigney to Divonne-les-Bains,Hilly,220.0,Jacques Esclassan,Francia,154.0
1976,1976-07-04,9,Divonne-les-Bains to Alpe d'Huez,Mountain,258.0,Joop Zoetemelk,Países Bajos,258.0
1976,1976-07-05,10,Le Bourg-d'Oisans to Montgenèvre,Mountain,166.0,Joop Zoetemelk,Países Bajos,166.0
1976,1976-07-06,11,Montgenèvre to Manosque,Mountain,224.0,José Viejo,España,224.0
1976,1976-07-08,12,Le Barcarès to Bolquères Pyrenees 2000 [fr],Mountain,205.0,Raymond Delisle,Francia,205.0
1976,1976-07-09,13,Font-Romeu-Odeillo-Via to Saint-Gaudens,Mountain,188.0,Willy Teirlinck,Bélgica,188.0
1976,1976-07-10,14,Saint-Gaudens to Saint-Lary-Soulan,Mountain,139.0,Lucien Van Impe,Bélgica,139.0
1976,1976-07-11,15,Saint-Lary-Soulan to Pau,Mountain,195.0,Wladimiro Panizza,Italia,195.0
1976,1976-07-12,16,Pau to Fleurance,Flat,152.0,Michel Pollentier,Bélgica,30.400000000000002
1976,1976-07-13,17,Fleurance to Auch,Individual time-trial,39.0,Ferdinand Bracke,Bélgica,23.4
1976,1976-07-14,18a,Auch to Langon,Flat,86.0,Freddy Maertens,Bélgica,17.2
1976,1976-07-14,18b,Langon to Lacanau,Flat,123.0,Freddy Maertens,Bélgica,24.6
1976,1976-07-14,18c,Lacanau to Bordeaux,Flat,70.0,Gerben Karstens,Países Bajos,14.0
1976,1976-07-15,19,Sainte-Foy-la-Grande to Tulle,Flat,220.0,Hubert Mathis,Francia,44.0
1976,1976-07-16,20,Tulle to Puy-de-Dôme,Mountain,220.0,Joop Zoetemelk,Países Bajos,220.0
1976,1976-07-17,21,Montargis to Versailles,Flat,145.0,Freddy Maertens,Bélgica,29.0
1976,1976-07-18,22a,Paris,Individual time-trial,6.0,Freddy Maertens,Bélgica,3.5999999999999996
1976,1976-07-18,22b,Paris to Paris (Champs-Élysées),Flat,91.0,Gerben Karstens,Países Bajos,18.2
1977,1977-06-30,P,Fleurance,Individual time-trial,5.0,Dietrich Thurau,Alemania,3.0
1977,1977-07-01,1,Fleurance to Auch,Flat,237.0,Pierre-Raymond Villemiane,Francia,47.400000000000006
1977,1977-07-02,2,Auch to Pau,Mountain,253.0,Dietrich Thurau,Alemania,253.0
1977,1977-07-03,3,Oloron-Sainte-Marie to Vitoria-Gasteiz (Spain),Mountain,248.0,José Nazabal,España,248.0
1977,1977-07-04,4,Vitoria-Gasteiz (Spain) to Seignosse le Penon,Mountain,256.0,Régis Delépine,Francia,256.0
1977,1977-07-05,5a,Morcenx to Bordeaux,Flat,139.0,Jacques Esclassan,Francia,27.8
1977,1977-07-05,5b,Bordeaux,Individual time-trial,30.0,Dietrich Thurau,Alemania,18.0
1977,1977-07-07,6,Bordeaux to Limoges,Flat,225.0,Jan Raas,Países Bajos,45.0
1977,1977-07-08,7a,Jaunay-Clan to Angers,Flat,140.0,Patrick Sercu,Bélgica,28.0
1977,1977-07-08,7b,Angers,Team time-trial,4.0,Fiat France,,1.6
1977,1977-07-09,8,Angers to Lorient,Flat,247.0,Giacinto Santambrogio,Italia,49.400000000000006
1977,1977-07-10,9,Lorient to Rennes,Mountain,187.0,Klaus-Peter Thaler,Alemania,187.0
1977,1977-07-11,10,Bagnoles-de-l'Orne to Rouen,Flat,174.0,Fedor den Hertog,Países Bajos,34.800000000000004
1977,1977-07-12,11,Rouen to Roubaix,Flat,242.0,Jean-Pierre Danguillaume,Francia,48.400000000000006
1977,1977-07-13,12,Roubaix to Charleroi (Belgium),Mountain,193.0,Patrick Sercu,Bélgica,193.0
1977,1977-07-14,13a,Freiburg (West Germany),Flat,46.0,Patrick Sercu,Bélgica,9.200000000000001
1977,1977-07-14,13b,Altkirch to Besançon,Flat,160.0,Jean-Pierre Danguillaume,Francia,32.0
1977,1977-07-16,14,Besançon to Thonon-les-Bains,Mountain,230.0,Bernard Quilfen,Francia,230.0
1977,1977-07-17,15a,Thonon-les-Bains to Morzine,Mountain,105.0,Paul Wellens,Bélgica,105.0
1977,1977-07-17,15b,Morzine to Avoriaz,Individual time-trial,14.0,Lucien Van Impe,Bélgica,8.4
1977,1977-07-18,16,Morzine to Chamonix,Mountain,121.0,Dietrich Thurau,Alemania,121.0
1977,1977-07-19,17,Chamonix to Alpe d'Huez,Mountain,185.0,Hennie Kuiper,Países Bajos,185.0
1977,1977-07-20,18,Rossignol Voiron to Saint-Étienne,Mountain,199.0,no winner,,199.0
1977,1977-07-21,19,Saint-Trivier-sur-Moignans to Dijon,Flat,172.0,Gerrie Knetemann,Países Bajos,34.4
1977,1977-07-22,20,Dijon,Individual time-trial,50.0,Bernard Thévenet,Francia,30.0
1977,1977-07-23,21,Montereau-Fault-Yonne to Versailles,Flat,142.0,Gerrie Knetemann,Países Bajos,28.400000000000002
1977,1977-07-24,22a,Paris,Individual time-trial,6.0,Dietrich Thurau,Alemania,3.5999999999999996
1977,1977-07-24,22b,Paris (Champs-Élysées),Flat,91.0,Alain Meslet,Francia,18.2
1978,1978-06-29,P,Leiden (Netherlands),Individual time-trial,5.0,Jan Raas,Países Bajos,3.0
1978,1978-06-30,1a,Leiden to Sint Willebrord (Netherlands),Flat,135.0,Jan Raas,Países Bajos,27.0
1978,1978-06-30,1b,Sint Willebrord (Netherlands) to Brussels (Belgium),Flat,100.0,Walter Planckaert,Bélgica,20.0
1978,1978-07-01,2,Brussels (Belgium) to Saint-Amand-les-Eaux,Flat,199.0,Jacques Esclassan,Francia,39.800000000000004
1978,1978-07-02,3,Saint-Amand-les-Eaux to Saint-Germain-en-Laye,Flat,244.0,Klaus-Peter Thaler,Alemania,48.800000000000004
1978,1978-07-03,4,Évreux to Caen,Team time-trial,153.0,TI–Raleigh–McGregor,,61.2
1978,1978-07-04,5,Caen to Mazé–Montgeoffroy,Flat,244.0,Freddy Maertens,Bélgica,48.800000000000004
1978,1978-07-05,6,Mazé–Montgeoffroy to Poitiers,Flat,162.0,Sean Kelly,Irlanda,32.4
1978,1978-07-06,7,Poitiers to Bordeaux,Flat,242.0,Freddy Maertens,Bélgica,48.400000000000006
1978,1978-07-07,8,Saint-Émilion to Sainte-Foy-la-Grande,Individual time-trial,59.0,Bernard Hinault,Francia,35.4
1978,1978-07-08,9,Bordeaux to Biarritz,Flat,233.0,Miguel María Lasa,España,46.6
1978,1978-07-10,10,Biarritz to Pau,Hilly,192.0,Henk Lubberding,Países Bajos,134.39999999999998
1978,1978-07-11,11,Pau to Saint-Lary-Soulan Pla d'Adet,Mountain,161.0,Mariano Martínez,Francia,161.0
1978,1978-07-12,12a,Tarbes to Valence d'Agen,Flat,158.0,Cancelled,,31.6
1978,1978-07-12,12b,Valence d'Agen to Toulouse,Flat,96.0,Jacques Esclassan,Francia,19.200000000000003
1978,1978-07-13,13,Figeac to Super Besse,Hilly,221.0,Paul Wellens,Bélgica,154.7
1978,1978-07-14,14,Besse-en-Chandesse to Puy-de-Dôme,Individual time-trial,52.0,Joop Zoetemelk,Países Bajos,31.2
1978,1978-07-15,15,Saint-Dier-d'Auvergne to Saint-Étienne,Hilly,196.0,Bernard Hinault,Francia,137.2
1978,1978-07-16,16,St-Étienne to Alpe d'Huez,Mountain,241.0,Hennie Kuiper,Países Bajos,241.0
1978,1978-07-18,17,Grenoble to Morzine,Mountain,225.0,Christian Seznec,Francia,225.0
1978,1978-07-19,18,Morzine to Lausanne (Switzerland),Flat,137.0,Gerrie Knetemann,Países Bajos,27.400000000000002
1978,1978-07-20,19,Lausanne (Switzerland) to Belfort,Flat,182.0,Marc Demeyer,Bélgica,36.4
1978,1978-07-21,20,Metz to Nancy,Individual time-trial,72.0,Bernard Hinault,Francia,43.199999999999996
1978,1978-07-22,21,Épernay to Senlis,Flat,207.0,Jan Raas,Países Bajos,41.400000000000006
1978,1978-07-23,22,Saint Germain en Laye to Paris (Champs-Élysées),Flat,162.0,Gerrie Knetemann,Países Bajos,32.4
1979,1979-06-27,P,Fleurance,Individual time-trial,5.0,Gerrie Knetemann,Países Bajos,3.0
1979,1979-06-28,1,Fleurance to Luchon,Mountain,225.0,René Bittinger,Francia,225.0
1979,1979-06-29,2,Luchon to Superbagnères,Individual time-trial,24.0,Bernard Hinault,Francia,14.399999999999999
1979,1979-06-30,3,Luchon to Pau,Mountain,180.0,Bernard Hinault,Francia,180.0
1979,1979-07-01,4,Captieux to Bordeaux,Team time-trial,87.0,TI–Raleigh–McGregor,,34.800000000000004
1979,1979-07-02,5,Neuville-de-Poitou to Angers,Flat,145.0,Jan Raas,Países Bajos,29.0
1979,1979-07-03,6,Angers to Saint-Brieuc,Flat,239.0,Jos Jacobs,Bélgica,47.800000000000004
1979,1979-07-04,7,Saint-Hilaire-du-Harcouët to Deauville,Flat,158.0,Leo van Vliet,Países Bajos,31.6
1979,1979-07-05,8,Deauville to Le Havre,Team time-trial,90.0,TI–Raleigh–McGregor,,36.0
1979,1979-07-06,9,Amiens to Roubaix,Flat,201.0,Ludo Delcroix,Bélgica,40.2
1979,1979-07-07,10,Roubaix to Brussels (Belgium),Flat,124.0,Jo Maas,Países Bajos,24.8
1979,1979-07-08,11,Brussels (Belgium),Individual time-trial,33.0,Bernard Hinault,Francia,19.8
1979,1979-07-09,12,Rochefort (Belgium) to Metz,Flat,193.0,Christian Seznec,Francia,38.6
1979,1979-07-10,13,Metz to Ballon d'Alsace,Hilly,202.0,Pierre-Raymond Villemiane,Francia,141.39999999999998
1979,1979-07-11,14,Belfort to Évian-les-Bains,Flat,248.0,Marc Demeyer,Bélgica,49.6
1979,1979-07-12,15,Évian-les-Bains to Morzine Avoriaz,Individual time-trial,54.0,Bernard Hinault,Francia,32.4
1979,1979-07-13,16,Morzine Avoriaz to Les Menuires,Mountain,201.0,Lucien Van Impe,Bélgica,201.0
1979,1979-07-15,17,Les Menuires to Alpe d'Huez,Mountain,167.0,Joaquim Agostinho,Portugal,167.0
1979,1979-07-16,18,Alpe d'Huez to Alpe d'Huez,Mountain,119.0,Joop Zoetemelk,Países Bajos,119.0
1979,1979-07-17,19,Alpe d'Huez to Saint-Priest,Flat,162.0,Dietrich Thurau,Alemania,32.4
1979,1979-07-18,20,Saint-Priest to Dijon,Flat,240.0,Serge Parsani,Italia,48.0
1979,1979-07-19,21,Dijon,Individual time-trial,49.0,Bernard Hinault,Francia,29.4
1979,1979-07-20,22,Dijon to Auxerre,Flat,189.0,Gerrie Knetemann,Países Bajos,37.800000000000004
1979,1979-07-21,23,Auxerre to Nogent-sur-Marne,Flat,205.0,Bernard Hinault,Francia,41.0
1979,1979-07-22,24,Le Perreux-sur-Marne to Paris (Champs-Élysées),Flat,180.0,Bernard Hinault,Francia,36.0
1980,1980-06-26,P,Frankfurt (West Germany),Individual time-trial,8.0,Bernard Hinault,Francia,4.8
1980,1980-06-27,1a,Frankfurt (West Germany) to Wiesbaden (West Germany),Flat,133.0,Jan Raas,Países Bajos,26.6
1980,1980-06-27,1b,Wiesbaden (West Germany) to Frankfurt (West Germany),Team time-trial,46.0,TI–Raleigh–Creda,,18.400000000000002
1980,1980-06-28,2,Frankfurt (West Germany) to Metz,Flat,276.0,Rudy Pevenage,Bélgica,55.2
1980,1980-06-29,3,Metz to Liège (Belgium),Flat,282.0,Henk Lubberding,Países Bajos,56.400000000000006
1980,1980-06-30,4,Spa (Belgium),Individual time-trial,35.0,Bernard Hinault,Francia,21.0
1980,1980-07-01,5,Liège (Belgium) to Lille,Flat,249.0,Bernard Hinault,Francia,49.800000000000004
1980,1980-07-02,6,Lille to Compiègne,Flat,216.0,Jean-Louis Gauthier,Francia,43.2
1980,1980-07-03,7a,Compiègne to Beauvais,Team time-trial,65.0,TI–Raleigh–Creda,,26.0
1980,1980-07-03,7b,Beauvais to Rouen,Flat,92.0,Jan Raas,Países Bajos,18.400000000000002
1980,1980-07-04,8,Flers to Saint-Malo,Flat,164.0,Bert Oosterbosch,Países Bajos,32.800000000000004
1980,1980-07-06,9,Saint-Malo to Nantes,Flat,205.0,Jan Raas,Países Bajos,41.0
1980,1980-07-07,10,Rochefort to Bordeaux,Flat,163.0,Cees Priem,Países Bajos,32.6
1980,1980-07-08,11,Damazan to Laplume,Individual time-trial,52.0,Joop Zoetemelk,Países Bajos,31.2
1980,1980-07-09,12,Agen to Pau,Flat,194.0,Gerrie Knetemann,Países Bajos,38.800000000000004
1980,1980-07-10,13,Pau to Bagnères-de-Luchon,Mountain,200.0,Raymond Martin,Francia,200.0
1980,1980-07-11,14,Lézignan-Corbières to Montpellier,Flat,189.0,Ludo Peeters,Bélgica,37.800000000000004
1980,1980-07-12,15,Montpellier to Martigues,Flat,160.0,Bernard Vallet,Francia,32.0
1980,1980-07-13,16,Trets to Pra-Loup,Mountain,209.0,Jos De Schoenmaecker,Bélgica,209.0
1980,1980-07-14,17,Serre Chevalier to Morzine,Mountain,242.0,Mariano Martínez,Francia,242.0
1980,1980-07-16,18,Morzine to Prapoutel,Mountain,199.0,Ludo Loos,Bélgica,199.0
1980,1980-07-17,19,Voreppe to Saint-Étienne,Hilly,140.0,Sean Kelly,Irlanda,98.0
1980,1980-07-18,20,Saint-Étienne,Individual time-trial,34.0,Joop Zoetemelk,Países Bajos,20.4
1980,1980-07-19,21,Auxerre to Fontenay-sous-Bois,Flat,208.0,Sean Kelly,Irlanda,41.6
1980,1980-07-20,22,Fontenay-sous-Bois to Paris (Champs-Élysées),Flat,186.0,Pol Verschuere,Bélgica,37.2
1981,1981-06-25,P,Nice,Individual time-trial,6.0,Bernard Hinault,Francia,3.5999999999999996
1981,1981-06-26,1a,Nice,Hilly,97.0,Freddy Maertens,Bélgica,67.89999999999999
1981,1981-06-26,1b,Nice,Team time-trial,40.0,TI–Raleigh–Creda,,16.0
1981,1981-06-27,2,Nice to Martigues,Flat,254.0,Johan van der Velde,Países Bajos,50.800000000000004
1981,1981-06-28,3,Martigues to Narbonne,Flat,232.0,Freddy Maertens,Bélgica,46.400000000000006
1981,1981-06-29,4,Narbonne to Carcassonne,Team time-trial,77.0,TI–Raleigh–Creda,,30.8
1981,1981-06-30,5,Saint-Gaudens to Pla d'Adet,Mountain,117.0,Lucien Van Impe,Bélgica,117.0
1981,1981-07-01,6,Nay to Pau,Individual time-trial,27.0,Bernard Hinault,Francia,16.2
1981,1981-07-02,7,Pau to Bordeaux,Flat,227.0,Urs Freuler,Suiza,45.400000000000006
1981,1981-07-03,8,Rochefort to Nantes,Flat,182.0,Ad Wijnands,Países Bajos,36.4
1981,1981-07-05,9,Nantes to Le Mans,Flat,197.0,René Martens,Bélgica,39.400000000000006
1981,1981-07-06,10,Le Mans to Aulnay-sous-Bois,Flat,264.0,Ad Wijnands,Países Bajos,52.800000000000004
1981,1981-07-07,11,Compiègne to Roubaix,Flat,246.0,Daniel Willems,Bélgica,49.2
1981,1981-07-08,12a,Roubaix to Brussels (Belgium),Flat,107.0,Freddy Maertens,Bélgica,21.400000000000002
1981,1981-07-08,12b,Brussels (Belgium) to Circuit Zolder (Belgium),Flat,138.0,Eddy Planckaert,Bélgica,27.6
1981,1981-07-09,13,Beringen (Belgium) to Hasselt (Belgium),Flat,157.0,Freddy Maertens,Bélgica,31.400000000000002
1981,1981-07-10,14,Mulhouse,Individual time-trial,38.0,Bernard Hinault,Francia,22.8
1981,1981-07-11,15,Besançon to Thonon-les-Bains,Hilly,231.0,Sean Kelly,Irlanda,161.7
1981,1981-07-12,16,Thonon-les-Bains to Morzine,Mountain,200.0,Robert Alban,Francia,200.0
1981,1981-07-14,17,Morzine to Alpe d'Huez,Mountain,230.0,Peter Winnen,Países Bajos,230.0
1981,1981-07-15,18,Le Bourg-d'Oisans to Le Pleynet,Mountain,134.0,Bernard Hinault,Francia,134.0
1981,1981-07-16,19,Veurey to Saint-Priest,Flat,118.0,Daniel Willems,Bélgica,23.6
1981,1981-07-17,20,Saint-Priest,Individual time-trial,46.0,Bernard Hinault,Francia,27.599999999999998
1981,1981-07-18,21,Auxerre to Fontenay-sous-Bois,Flat,207.0,Johan van der Velde,Países Bajos,41.400000000000006
1981,1981-07-19,22,Fontenay-sous-Bois to Paris (Champs-Élysées),Flat,187.0,Freddy Maertens,Bélgica,37.4
1982,1982-07-02,P,Basel (Switzerland),Individual time-trial,7.0,Bernard Hinault,Francia,4.2
1982,1982-07-03,1,Basel (Switzerland) to Möhlin (Switzerland),Hilly,207.0,Ludo Peeters,Bélgica,144.89999999999998
1982,1982-07-04,2,Basel (Switzerland) to Nancy,Flat,250.0,Phil Anderson,Australia,50.0
1982,1982-07-05,3,Nancy to Longwy,Flat,134.0,Daniel Willems,Bélgica,26.8
1982,1982-07-06,4,Beauraing (Belgium) to Mouscron (Belgium),Flat,219.0,Gerrie Knetemann,Países Bajos,43.800000000000004
1982,1982-07-07,5,Orchies to Fontaine-au-Pire,Team time-trial,73.0,Cancelled and replaced by stage 9a,,29.200000000000003
1982,1982-07-08,6,Lille,Flat,233.0,Jan Raas,Países Bajos,46.6
1982,1982-07-10,7,Cancale to Concarneau,Flat,235.0,Pol Verschuere,Bélgica,47.0
1982,1982-07-11,8,Concarneau to Châteaulin,Flat,201.0,Frank Hoste,Bélgica,40.2
1982,1982-07-12,9a,Lorient to Plumelec,Team time-trial,69.0,TI–Raleigh–Campagnolo,,27.6
1982,1982-07-12,9b,Plumelec to Nantes,Flat,138.0,Stefan Mutter,Suiza,27.6
1982,1982-07-13,10,Saintes to Bordeaux,Flat,147.0,Pierre-Raymond Villemiane,Francia,29.400000000000002
1982,1982-07-14,11,Valence d'Agen,Individual time-trial,57.0,Gerrie Knetemann,Países Bajos,34.199999999999996
1982,1982-07-15,12,Fleurance to Pau,Mountain,249.0,Sean Kelly,Irlanda,249.0
1982,1982-07-16,13,Pau to Saint-Lary-Soulan Pla d'Adet,Mountain,122.0,Beat Breu,Suiza,122.0
1982,1982-07-18,14,Martigues,Individual time-trial,33.0,Bernard Hinault,Francia,19.8
1982,1982-07-19,15,Manosque to Orcières-Merlette,Mountain,208.0,Pascal Simon,Francia,208.0
1982,1982-07-20,16,Orcières-Merlette to Alpe d'Huez,Mountain,123.0,Beat Breu,Suiza,123.0
1982,1982-07-21,17,Le Bourg-d'Oisans to Morzine,Mountain,251.0,Peter Winnen,Países Bajos,251.0
1982,1982-07-22,18,Morzine to Saint-Priest,Flat,233.0,Adrie van Houwelingen,Países Bajos,46.6
1982,1982-07-23,19,Saint-Priest,Individual time-trial,48.0,Bernard Hinault,Francia,28.799999999999997
1982,1982-07-24,20,Sens to Aulnay-sous-Bois,Flat,161.0,Daniel Willems,Bélgica,32.2
1982,1982-07-25,21,Fontenay-sous-Bois to Paris (Champs-Élysées),Flat,187.0,Bernard Hinault,Francia,37.4
1983,1983-07-01,P,Fontenay-sous-Bois,Individual time-trial,6.0,Eric Vanderaerden,Bélgica,3.5999999999999996
1983,1983-07-02,1,Nogent-sur-Marne to Créteil,Flat,163.0,Frits Pirard,Países Bajos,32.6
1983,1983-07-03,2,Soissons to Fontaine-au-Pire,Team time-trial,100.0,COOP–Mercier–Mavic,,40.0
1983,1983-07-04,3,Valenciennes to Roubaix,Hilly,152.0,Rudy Matthijs,Bélgica,106.39999999999999
1983,1983-07-05,4,Roubaix to Le Havre,Flat,300.0,Serge Demierre,Suiza,60.0
1983,1983-07-06,5,Le Havre to Le Mans,Flat,257.0,Dominique Gaigne,Francia,51.400000000000006
1983,1983-07-07,6,Châteaubriant to Nantes,Individual time-trial,58.0,Bert Oosterbosch,Países Bajos,34.8
1983,1983-07-08,7,Nantes to Île d'Oléron,Flat,216.0,Riccardo Magrini,Italia,43.2
1983,1983-07-09,8,La Rochelle to Bordeaux,Flat,222.0,Bert Oosterbosch,Países Bajos,44.400000000000006
1983,1983-07-10,9,Bordeaux to Pau,Flat,207.0,Philippe Chevallier,Francia,41.400000000000006
1983,1983-07-11,10,Pau to Bagnères-de-Luchon,Mountain,201.0,Robert Millar,Reino Unido,201.0
1983,1983-07-12,11,Bagnères-de-Luchon to Fleurance,Flat,177.0,Régis Clère,Francia,35.4
1983,1983-07-13,12,Fleurance to Roquefort-sur-Soulzon,Flat,261.0,Kim Andersen,Dinamarca,52.2
1983,1983-07-14,13,Roquefort-sur-Soulzon to Aurillac,Hilly,210.0,Henk Lubberding,Países Bajos,147.0
1983,1983-07-15,14,Aurillac to Issoire,Hilly,149.0,Pierre Le Bigaut,Francia,104.3
1983,1983-07-16,15,Clermont-Ferrand to Puy-de-Dôme,Individual time-trial,16.0,Ángel Arroyo,España,9.6
1983,1983-07-17,16,Issoire to Saint-Étienne,Hilly,144.0,Michel Laurent,Francia,100.8
1983,1983-07-18,17,La Tour-du-Pin to Alpe d'Huez,Mountain,223.0,Peter Winnen,Países Bajos,223.0
1983,1983-07-20,18,Le Bourg-d'Oisans to Morzine,Mountain,247.0,Jacques Michaud,Francia,247.0
1983,1983-07-21,19,Morzine to Avoriaz,Individual time-trial,15.0,Lucien Van Impe,Bélgica,9.0
1983,1983-07-22,20,Morzine to Dijon,Flat,291.0,Philippe Leleu,Francia,58.2
1983,1983-07-23,21,Dijon,Individual time-trial,50.0,Laurent Fignon,Francia,30.0
1983,1983-07-24,22,Alfortville to Paris (Champs-Élysées),Flat,195.0,Gilbert Glaus,Suiza,39.0
1984,1984-06-29,P,Montreuil to Noisy-le-Sec,Individual time-trial,5.0,Bernard Hinault,Francia,3.0
1984,1984-06-30,1,Bondy to Saint-Denis,Flat,149.0,Frank Hoste,Bélgica,29.8
1984,1984-07-01,2,Bobigny to Louvroil,Flat,249.0,Marc Madiot,Francia,49.800000000000004
1984,1984-07-02,3,Louvroil to Valenciennes,Team time-trial,51.0,Renault–Elf,,20.400000000000002
1984,1984-07-02,4,Valenciennes to Béthune,Flat,83.0,Ferdi Van Den Haute,Bélgica,16.6
